"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Pain","91","68.42"
"Depression/mood","83","62.41"
"Anxiety/panic attacks","76","57.14"
"Sleep/insomnia","71","53.38"
"Headache","51","38.35"
"Aggression","42","31.58"
"Attention/concentration","36","27.07"
"Inflammation","33","24.81"
"Spasms","32","24.06"
"Appetite/weight","31","23.31"
"Nausea/vomiting","29","21.8"
"Other (please specify)","11","8.27"
"Mania/psychosis","9","6.77"
"Ocular pressure","8","6.02"
"Skin conditions","8","6.02"
"Respiratory","5","3.76"
"Seizures","4","3.01"
"Drug withdrawal","1","0.75"
