"q41","What features are missing from your sources of information that you would like to see included?","n =  702"
"response","count","percent_responded"
"None","77","10.97"
"N/A","29","4.13"
"N/a","25","3.56"
"none","25","3.56"
"n/a","22","3.13"
"Not sure","20","2.85"
"Nothing","15","2.14"
"None ","11","1.57"
"Na","10","1.42"
"na","6","0.85"
"Not sure ","6","0.85"
"nothing","6","0.85"
"unsure","6","0.85"
"not sure","5","0.71"
"Nothing ","5","0.71"
"Deals","3","0.43"
"idk","3","0.43"
"More strains","3","0.43"
"None I can think of","3","0.43"
"Price","3","0.43"
"prices","3","0.43"
"Idk","2","0.28"
"Menus","2","0.28"
"more individual strain info","2","0.28"
"More pictures","2","0.28"
"Na ","2","0.28"
"Nada","2","0.28"
"Nih","2","0.28"
"Pictures","2","0.28"
"Prices","2","0.28"
"terpene profiles","2","0.28"
"Unsure","2","0.28"
"360 product pics","1","0.14"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.14"
"A medical card","1","0.14"
"A more accurate understanding of the trace cannabinoids in the products available.","1","0.14"
"a wishlist/shopping list, and a way to save your favorite items","1","0.14"
"Accept other payment forms ","1","0.14"
"Accuracy","1","0.14"
"accuracy with strain information","1","0.14"
"Accurate genetics","1","0.14"
"Accurate percentage ","1","0.14"
"Accurate percentages","1","0.14"
"Accurate percentages of more cannabinoids ","1","0.14"
"Accurate product testing, plant genetics/lineage/strain history","1","0.14"
"Actual rigorous medical research on benefits and harm of marijuana ","1","0.14"
"Actually science based information","1","0.14"
"adverse effect information","1","0.14"
"All good","1","0.14"
"Always indica sariva percentage","1","0.14"
"Any of dr Sulak’s resources are amazing ","1","0.14"
"As","1","0.14"
"Average cost between the dispensaries across the state, and tips on the best way/place to grow for myself ","1","0.14"
"Average price","1","0.14"
"Average Price","1","0.14"
"Average price ","1","0.14"
"beginner info","1","0.14"
"bette local information ","1","0.14"
"Better information about states other than CA, OR, WA, AZ, CO","1","0.14"
"Better inventory of what local dispensary has","1","0.14"
"better strain genetics, average testing % and deeper info","1","0.14"
"Better user based feedback.","1","0.14"
"books","1","0.14"
"Breakdown Comparison of one strain to another ","1","0.14"
"Can't think of any","1","0.14"
"Can’t think of any","1","0.14"
"Can’t think of any ","1","0.14"
"Cannabinoid ranges and regional availability/hardiness statistics ","1","0.14"
"Cannabis lessons. Teach the public how to roll joints, dab, grow, maintain glass/pieces","1","0.14"
"Cannabis science: terpenes and cannabinoids for medicine","1","0.14"
"Cases of fraud and pesticides ","1","0.14"
"cbd","1","0.14"
"CBD vs THC effects","1","0.14"
"Cheaper, faster, more reliable testing.","1","0.14"
"clinical studies and more research","1","0.14"
"Coming soon products ","1","0.14"
"Complete write up of strains","1","0.14"
"Comprehensiveness -- doesn't show everything they have","1","0.14"
"Conclusive clinical trial results","1","0.14"
"Consistency with scientific studies and analyses ","1","0.14"
"Content related directly to my market and region ","1","0.14"
"cost","1","0.14"
"Cost","1","0.14"
"Costs","1","0.14"
"Costs and availability","1","0.14"
"Coupon","1","0.14"
"Coupons ","1","0.14"
"Crohn's specific info","1","0.14"
"crossed strains","1","0.14"
"Cultivation methods, growing media, and fertilizers/pesticides used","1","0.14"
"Current menus and prices, promotions ","1","0.14"
"Current products","1","0.14"
"Customer reviews","1","0.14"
"Daily deals","1","0.14"
"Deals ","1","0.14"
"Delivery ","1","0.14"
"Delivery option for leafly","1","0.14"
"Descriptions on some strains","1","0.14"
"Detailed information regarding concentrates available at dispensaries near me.","1","0.14"
"Details of strains effects ","1","0.14"
"Details on how to identify strains","1","0.14"
"Different strains genetics ","1","0.14"
"distinguishing physical features between strains and types ex indica vs sativa","1","0.14"
"Doctors', scientists', and cultivators' information regarding cannabis products, strains and how it is grown/manufactured","1","0.14"
"Don't have any","1","0.14"
"don't know","1","0.14"
"Don't know","1","0.14"
"Don't understand the question ","1","0.14"
"Don’t know","1","0.14"
"Dosage help","1","0.14"
"Dosage, testing information, safety details, loyalty, strain and product tracking/dosage logging.","1","0.14"
"Double blind studies and independent polls like this one.  Thanks!","1","0.14"
"Dry and Cure info","1","0.14"
"Easier navigation of site on mobile ","1","0.14"
"Easier to find sources to back up claims","1","0.14"
"Easily digestible (couple of sentences) the describe a products high or impact on you.","1","0.14"
"Effects of how other patients feels ","1","0.14"
"everything","1","0.14"
"Expert guidance, individual dosage advise & lab testing","1","0.14"
"Explanation of strains","1","0.14"
"Extensive discussion of the effects of each and every active ingredient; more information on the content of those ""lesser"" ingredients for each strain.","1","0.14"
"Fact based truth in the medical community ","1","0.14"
"Features on how to obtain genetics","1","0.14"
"Flavor","1","0.14"
"Flowering time ","1","0.14"
"Free Money","1","0.14"
"Full Genetic Linage ","1","0.14"
"full online terpene and cannabinoid profiles for all strains available for purchase","1","0.14"
"Full terpene profile","1","0.14"
"Getting my congressmen/women to vote on reform","1","0.14"
"Grow info and curing method if these are done well the strain science should hold true, if not, quaility assurance is gone.","1","0.14"
"Growth stages and more indepth strain specific growing journals for all strains ","1","0.14"
"growweedeasy.com has everything i need. ","1","0.14"
"Harvesting ","1","0.14"
"Head Shop locator","1","0.14"
"Helpful ways to afford ","1","0.14"
"History and Tradition","1","0.14"
"home processing of flower to topicals","1","0.14"
"How exactly to use, as well as what to do if something unplanned for happens (like a coughing fit), for us neophytes!","1","0.14"
"How it affects with racng thoughts","1","0.14"
"How long effects last","1","0.14"
"How long the high will last","1","0.14"
"How to identify different strains ","1","0.14"
"How to micro dose ","1","0.14"
"How to save the most money ","1","0.14"
"I'd like to see the same thc and turpene readout that comes with purchased products on the apps. ","1","0.14"
"I'd love to see a fuller chemical breakdown, more than just THC and CBD, but that's not even a big deal!","1","0.14"
"I'm not sure","1","0.14"
"I'm satisfied with the amount of features present","1","0.14"
"I'm very informed ","1","0.14"
"I am a caregiver and in 98 I did 1 yr in jail n now want to get in the cannabis biz but would need help","1","0.14"
"I am happy with the sources info","1","0.14"
"I am not sure yet","1","0.14"
"I don’t know if any","1","0.14"
"I don’t use them","1","0.14"
"I have no idea","1","0.14"
"I like peer reviewed scientific articles","1","0.14"
"I mainly check in with friends for information. No missing information","1","0.14"
"I usually just go to the dispensary website about current products available.","1","0.14"
"I would just like to have sources of information and to have cannabis be totally legal in the United States. ","1","0.14"
"I would like to see a thirds party to select flower to send to testing.","1","0.14"
"I wouldn't know what else to look for","1","0.14"
"I’m not really sure","1","0.14"
"Ideal strains for particular conditions ","1","0.14"
"If edibles are available in a limited stock (i.e., the dispensary does not make their own edible products and must rely on another dispensary or distributor for products.","1","0.14"
"im not sure","1","0.14"
"In stock strains fluctuate a lot, maybe a way to track","1","0.14"
"Incoming stains? Maybe something to look forward to. ","1","0.14"
"Info on terpenes","1","0.14"
