"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  723"
"response","count","percent_responded"
"Dry mouth","502","69.43"
"More or less talkative","246","34.02"
"Sleepiness/fatigue","236","32.64"
"Changes in appetite","235","32.5"
"Increased energy","205","28.35"
"Memory problems","151","20.89"
"Experienced no side effects","105","14.52"
"Feeling of being ""altered""","102","14.11"
"Paranoia","102","14.11"
"Difficultly concentrating","93","12.86"
"Changes in libido","92","12.72"
"Heart racing/palpitations","82","11.34"
"Racing thoughts","76","10.51"
"Anxiety","73","10.1"
"Tough to get started in the morning (lassitude)","69","9.54"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","56","7.75"
"Dizziness","36","4.98"
"Apathy","35","4.84"
"Headache","34","4.7"
"Other (please specify)","25","3.46"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","20","2.77"
"Nausea","20","2.77"
"Sweating","19","2.63"
"Depression","10","1.38"
