"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Chronic pain","117","87.97"
"Anxiety","92","69.17"
"Depression","90","67.67"
"Posttraumatic stress disorder (PTSD)","86","64.66"
"Arthritis","59","44.36"
"Insomnia","59","44.36"
"Gastrointestinal/digestive system disorders","25","18.8"
"Hypertension","22","16.54"
"Fibromyalgia/myositis","17","12.78"
"Other (please specify)","15","11.28"
"Attention deficit/hyperactivity disorder (ADHD)","14","10.53"
"Bipolar/manic depression","13","9.77"
"Substance abuse/addiction","13","9.77"
"Diabetes","10","7.52"
"Reflux esophagitis","10","7.52"
"Inflammatory bowel disease (IBD)","9","6.77"
"Respiratory problems","9","6.77"
"Cancer","8","6.02"
"Obesity","7","5.26"
"Allergies","5","3.76"
"Cardiovascular disease","3","2.26"
"Eczema","3","2.26"
"Multiple sclerosis","3","2.26"
"HIV/AIDS","2","1.5"
"Epilepsy","1","0.75"
