"""If you had to live with some pain, what level of pain would be acceptable?""",
,
id,response
11249871277,2
11245529294,3
11241251752,3
11208627585,7
11183903124,4
11166535497,4
11166390085,2
11166384877,2
11156698544,2
11156548224,2
11138400653,5
11137541759,5
11135054998,3
11100035804,2
11091792560,2
11062634752,5
11036310394,4
11006369538,4
10885759801,2
10880798060,6
10879062209,3
10878751296,3
10877788133,5
10877606410,3
10877194985,4
10876876072,2
10876510380,2
10876100377,2
10875993925,4
10875530570,4
10875529110,2
10875526461,3
10875511603,3
10875503972,3
10875467061,5
10875458883,2
10867812743,3
10867810520,4
10867615622,5
10867323115,2
10859949104,2
10855896441,5
10842274754,2
10831158462,4
10808168894,3
10685117930,3
10682649508,3
10675806972,6
10675097210,5
10671862630,3
10668597062,2
10668312322,2
10667582585,4
10661330404,2
10660833205,5
10660294275,5
10658580372,3
10624147163,3
10622925288,6
10604065323,3
10602936383,4
10600857474,1
10597419828,1
10596131278,2
10576876213,3
10575849400,6
11213907729,5
11037955315,3
10991821033,2
10758288741,5
10699810522,2
10671009796,2
10598306507,5
10681003613,0
10626251939,0
