"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","98","100"
"Anti-inflammatories","38","38.78"
"Muscle relaxants","38","38.78"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","37","37.76"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","35","35.71"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","32","32.65"
"I have reduced my prescription medication use in the past","19","19.39"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","15","15.31"
"Sedatives/hypnotics","11","11.22"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","10","10.2"
"Antimigraine","9","9.18"
"Steroids, including steroid creams","8","8.16"
"Barbiturates (e.g. Floricet)","7","7.14"
"Antihypertensives","6","6.12"
"Antipsychotics (e.g. Abilify, Seroquel)","6","6.12"
"Proton pump inhibitors","5","5.1"
"Antiemetics","4","4.08"
"Beta Blockers","3","3.06"
"Other (please specify)","3","3.06"
"Statins (e.g. Lipitor, Crestor)","3","3.06"
"Insulin","2","2.04"
"Hormone replacement therapy (HRT)","1","1.02"
