"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","128","43.69"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","115","39.25"
"I don’t take any prescription medications","79","26.96"
"Anti-inflammatories","70","23.89"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","59","20.14"
"Muscle relaxants","59","20.14"
"Other (please specify)","56","19.11"
"Statins (e.g. Lipitor, Crestor)","45","15.36"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","43","14.68"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","33","11.26"
"Steroids, including steroid creams","25","8.53"
"Antipsychotics (e.g. Abilify, Seroquel)","22","7.51"
"Antihypertensives","20","6.83"
"Antimigraine","19","6.48"
"Sedatives/hypnotics","19","6.48"
"Beta Blockers","18","6.14"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","18","6.14"
"Proton pump inhibitors","11","3.75"
"Hormone replacement therapy (HRT)","10","3.41"
"Insulin","6","2.05"
"Barbiturates (e.g. Floricet)","5","1.71"
"Antiemetics","1","0.34"
