"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  105  avg =  59.505"
"response","count","percent_responded"
"100","36","34.29"
"0","15","14.29"
"10","5","4.76"
"75","5","4.76"
"50","4","3.81"
"30","3","2.86"
"99","3","2.86"
"15","2","1.9"
"2","2","1.9"
"25","2","1.9"
"5","2","1.9"
"90","2","1.9"
"95","2","1.9"
"98","2","1.9"
"1","1","0.95"
"18","1","0.95"
"20","1","0.95"
"23","1","0.95"
"26","1","0.95"
"3","1","0.95"
"36","1","0.95"
"4","1","0.95"
"51","1","0.95"
"52","1","0.95"
"65","1","0.95"
"67","1","0.95"
"73","1","0.95"
"80","1","0.95"
"82","1","0.95"
"84","1","0.95"
"89","1","0.95"
"9","1","0.95"
"96","1","0.95"
"97","1","0.95"
