"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  825"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","352","42.67"
"Have not seen advertising","278","33.7"
"In magizines or newspapers","168","20.36"
"On billboards","118","14.3"
"On storefronts","96","11.64"
"In pamphlets or flyers","85","10.3"
"At an event, like a concert, fair, rodeo, parade, or similar","75","9.09"
"On the radio","75","9.09"
"On television","62","7.52"
"On street side marketing, like sandwich boards","39","4.73"
"Other (please specify)","36","4.36"
"Other (please specify below)","18","2.18"
"On signs being held by people on sidewalks (sign wavers)","13","1.58"
