"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  98  avg =  59.79"
"response","count","percent_responded"
"100","31","31.63"
"0","18","18.37"
"50","6","6.12"
"60","5","5.1"
"80","5","5.1"
"70","4","4.08"
"90","4","4.08"
"10","3","3.06"
"20","3","3.06"
"22","2","2.04"
"30","2","2.04"
"93","2","2.04"
"99","2","2.04"
"14","1","1.02"
"2","1","1.02"
"3","1","1.02"
"40","1","1.02"
"43","1","1.02"
"6","1","1.02"
"75","1","1.02"
"81","1","1.02"
"87","1","1.02"
"92","1","1.02"
"98","1","1.02"
