"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Burn Pits","31","35.63"
"I was not exposed to any of these","31","35.63"
"Asbestos","14","16.09"
"Agent Orange","13","14.94"
"Gulf war illness","12","13.79"
"Specific Environmental Hazards","11","12.64"
"contaminated drinking water at camp Lejelune","6","6.9"
"Other (please specify)","5","5.75"
"Radiation Exposure","5","5.75"
"Gulf war illness in Afghanistan","3","3.45"
"Children having birth defects like Spina Bifida","2","2.3"
"Contact with mustard gas or lewisite","2","2.3"
