"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  224"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","101","45.09"
"Have not seen advertising","67","29.91"
"In magizines or newspapers","46","20.54"
"On billboards","33","14.73"
"On storefronts","27","12.05"
"On the radio","26","11.61"
"At an event, like a concert, fair, rodeo, parade, or similar","25","11.16"
"In pamphlets or flyers","21","9.38"
"On television","20","8.93"
"On street side marketing, like sandwich boards","13","5.8"
"Other (please specify)","11","4.91"
"On signs being held by people on sidewalks (sign wavers)","5","2.23"
"Other (please specify below)","5","2.23"
