"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  413"
"response","count","percent_responded"
"I was not exposed to any of these","133","32.2"
"Burn Pits","131","31.72"
"Asbestos","94","22.76"
"Specific Environmental Hazards","73","17.68"
"Agent Orange","51","12.35"
"Radiation Exposure","39","9.44"
"Gulf war illness","34","8.23"
"Other (please specify)","32","7.75"
"contaminated drinking water at camp Lejelune","31","7.51"
"Contact with mustard gas or lewisite","6","1.45"
"Children having birth defects like Spina Bifida","5","1.21"
"Gulf war illness in Afghanistan","5","1.21"
