"id","Strain 1","Strain 2","Strain 3"
10615475788,"Pineapple Express","Kush","Skunk "
10384460168,"Gg4","CSC","Lotus"
10247692900,"Glorilla Glue","Lemon Squeeze","Anytime cbd tinture"
10232561621,"Blue Dream","CBD Punch","Lucky Charm"
10230669640,"I do not know any strain names","",""
10230112524,"Bubba Kush","",""
10229684451,"Dosidos by Culta","Nom Nom","Flo"
10229631055,"Hybrid ","Stavia",""
10229449136,"GDP","1:01","Green Cush "
10229281307,"SATIVA","SATIVA","SATIVA"
10219430081,"Pineapple Express","Bio Diesel","KUSH any type"
10192878974,"lemon skunk (DNA)","geleto","huckleberry kush"
10189186912,"Snoop dog","Dutch dragon","Trainwreck"
10188408371,"Cinderella99","",""
10180666815,"Sour diesel","Purple og","White widow"
10164798083,"Sweet tooth","1:01","Blue dream"
10152780535,"Acdc","Sour tsu x cat kush","3d cbd"
10145094441,"Blue dream","Lemonchello","GG4"
10142600591,"Gorilla Glue #4","Moonshine Haze","Girl Scout cookie"
10137880777,"Blue dream","Girl scout cookies","Cush"
10134684832,"Sativa","Hybrid ",""
10131270007,"Blue ","Viper","Choco"
10129581312,"Pineapple Express","Girl Scout Cookies","Any type KUSH"
10128711809,"Cinex ","Doobie Bird Daydream","Sour Kosher"
10127820444,"Clemintine","Durban poison","Lemon meringue"
10119784107,"Peach Puree","Sour tsunami cataract kush","CBD mix"
10115125310,"THC","CBD",""
11111801761,"Brownie Scout ","Walker Kush","French Toast "
10617106666,"They are all nasty","They are all nasty","They are all nasty"
10585955967,"Lemon Jeffery at Bask","Tangie by Rhythm ","Bruce Banner by Garden Remedies"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10291238913,"Highwayman","Clean man","Stawdowg"
10230701658,"OG Kush","N. Lights","Blueberry Haze"
10229685334,"northern lights","blueberry","white rhino"
10229306258,"Sativa","Kush","No"
10224212235,"Buddha's  sister","Melodious funk","Sweet tooth"
10206706929,"full spectrum CBD","Agent Orange","Last Jedi"
10191618664,"Blue Dream","Granddaddy purple kush","Sour diesel "
10180645404,"ACDC","Trainwreck","Hindu Kush"
10176219723,"Just use edibles","",""
10166513618,"pineapple express ","white widow","sativa"
10166125436,"Whatever is available","",""
10164188167,"northern lights","gorilla glue","blue dream"
10158941676,"Mother of Berries","GG4","Grape God"
10146296373,"Blue dream","Kush","Anything indica"
10142701054,"Sweet tooth","GG#4","Killer queen"
10142601611,"Indica ","Sativa ","Hybrid "
10129349932,"Blue dream ","Jacksons jambo","Grand daddy purple"
10129124458,"Durbin poison","Grape God","Girl Scout cookies"
10128374991,"Starwood","Unknown","Vyper"
10127412430,"Gorilla Glue - Sativa","French Toast","GG#4"
10125676815,"Cannatonic","3d-CBC","Northern Lights # 5"
10124369213,"Jack herer","Ak47",""
10123609822,"Sunshine Daydream","Mimosa","Peach puree"
10113725108,"don't know ","don't know","don't know"
10113111202,"Just use edibles","",""
10441581754,"AK-47","Purple Haze",""
10304363791,"dr. grinspoon","sour diesel","gorilla glue"
10273619577,"perla","gemma","balder"
