"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  142"
"response","count","percent_responded"
"Anxiety","102","71.83"
"Sleep","101","71.13"
"Depression","79","55.63"
"Pain","78","54.93"
"Nausea","40","28.17"
"Inflammation","39","27.46"
"Headache","36","25.35"
"Appetite/weight","31","21.83"
"Attention/concentration","31","21.83"
"Aggression","28","19.72"
"Spasms","19","13.38"
"Mainia/psychosis","6","4.23"
"Seizures","6","4.23"
"Other (please specify)","5","3.52"
"Ocular pressure","4","2.82"
"Skin conditions","4","2.82"
"Drug withdrawl","3","2.11"
"No Symptoms","1","0.7"
"Respiratory","1","0.7"
