"q7","How does cannabis help your daily life? (Please select all that apply)","n =  269"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","239","88.85"
"Generally helps with quality of life","215","79.93"
"Helps with physical symptoms (e.g. body pains, function, sensation)","143","53.16"
"Helps to reduce use of alcohol","85","31.6"
"Helps to avoid starting other medicines (including opiates)","77","28.62"
"Helps to reduce use of other prior medicines (non-opiates)","77","28.62"
"Helps to reduce us of tobacco","39","14.5"
"Helps to reduce use of opiates","16","5.95"
"Other (please specify)","9","3.35"
"Does not help my daily life","1","0.37"
