"q11","How do you prefer to use cannabis? Please select all that apply.","n =  641"
"response","count","percent_responded"
"Smoke flower","513","80.03"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","391","61"
"Vape cartridges","391","61"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","259","40.41"
"Vape flower","226","35.26"
"Tinctures","208","32.45"
"Salves/topicals","166","25.9"
"Capsules","101","15.76"
"Transdermal patches","38","5.93"
"Suppositories","16","2.5"
"Other (please specify)","12","1.87"
