"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  641"
"response","count","percent_responded"
"Bachelors degree","175","27.3"
"Some college, no degree","172","26.83"
"High school degree or equivalent (GED)","84","13.1"
"Associate degree","78","12.17"
"Masters degree","74","11.54"
"Professional degree (MD, JD, DDS, DVM)","20","3.12"
"Prefer not to answer","14","2.18"
"Less than high school diploma","13","2.03"
"Doctorate (Ph.D., EdD, etc)","11","1.72"
