"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  105"
"response","count","percent_responded"
"Some college, no degree","38","36.19"
"High school degree or equivalent (GED)","21","20"
"Associate's degree","20","19.05"
"Bachelor's degree","12","11.43"
"Master's degree","9","8.57"
"Vocational degree","3","2.86"
"Doctorate (Ph.D, Ed.D, etc)","1","0.95"
"Less than high school diploma","1","0.95"
