"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  419"
"response","count","percent_responded"
"Smoke flower","197","47.02"
"Vape cartridges","69","16.47"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","67","15.99"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","26","6.21"
"Vape flower","24","5.73"
"Tinctures","22","5.25"
"Capsules","12","2.86"
"Salves/topicals","1","0.24"
"Transdermal patches","1","0.24"
