"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  558"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","211","37.81"
"NSAID/non-opioid analgesics","119","21.33"
"Other (please specify)","110","19.71"
"Narcotics/opioids","104","18.64"
"Antidepressants","99","17.74"
"Muscle relaxants","95","17.03"
"Other (please specify below)","85","15.23"
"Anxiolytics/Benzodiazepines","58","10.39"
"Sedatives/hypnotics","45","8.06"
"Antimigraine","25","4.48"
"Proton pump inhibitors","15","2.69"
"Anti-convulsants","11","1.97"
"Antipsychotics","11","1.97"
