"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Pain","182","60.87"
"Sleep/insomnia","149","49.83"
"Depression/mood","127","42.47"
"Anxiety/panic attacks","103","34.45"
"Inflammation","57","19.06"
"Aggression","52","17.39"
"Headache","48","16.05"
"Spasms","43","14.38"
"Attention/concentration","38","12.71"
"Appetite/weight","29","9.7"
"Nausea/vomiting","24","8.03"
"Other (please specify)","21","7.02"
"Ocular pressure","14","4.68"
"Skin conditions","10","3.34"
"Respiratory","8","2.68"
"Drug withdrawal","5","1.67"
"Seizures","4","1.34"
"Mania/psychosis","3","1"
