"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  558"
"response","count","percent_responded"
"Pain","391","70.07"
"Sleep","368","65.95"
"Anxiety","293","52.51"
"Inflammation","256","45.88"
"Depression","209","37.46"
"Spasms","120","21.51"
"Headache","98","17.56"
"Nausea","76","13.62"
"Other (please specify)","62","11.11"
"Attention/concentration","56","10.04"
"Appetite/weight","54","9.68"
"Aggression","31","5.56"
"Skin conditions","28","5.02"
"Ocular pressure","22","3.94"
"No Symptoms","18","3.23"
"Drug withdrawl","12","2.15"
"Respiratory","9","1.61"
"Seizures","8","1.43"
"Mainia/psychosis","4","0.72"
