"q48","What is the highest degree or level of school you have 
completed? If you are currently enrolled in school, please 
indicate the highest degree you have recieved.","n =  119"
"response","count","percent_responded"
"Bachelors degree","44","36.97"
"Some college, no degree","24","20.17"
"Masters degree","19","15.97"
"Associate degree","15","12.61"
"High school degree or equivalent (GED)","11","9.24"
"Professional degree (MD, JD, DDS, DVM)","3","2.52"
"Doctorate (Ph.D., EdD, etc)","2","1.68"
"Prefer not to answer","1","0.84"
