"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Dry mouth","110","76.39"
"More or less talkative","57","39.58"
"Changes in appetite","51","35.42"
"Increased energy","50","34.72"
"Sleepiness/fatigue","38","26.39"
"Changes in libido","19","13.19"
"Feeling of being ""altered""","19","13.19"
"Memory problems","19","13.19"
"Other (please specify)","15","10.42"
"Paranoia","11","7.64"
"Apathy","10","6.94"
"Difficulty concentrating","10","6.94"
"Heart racing/palpitations","10","6.94"
"Racing thoughts","9","6.25"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","7","4.86"
"Tough to get started in the morning (lassitude) or ""couch lock""","7","4.86"
"Sweating","5","3.47"
"Anxiety","3","2.08"
"Headache","2","1.39"
"Nausea","2","1.39"
"Depression","1","0.69"
"Dizziness","1","0.69"
"GI changes (constipation, diarrhea, abdominal discomfort)","1","0.69"
