"q34","Has COVID-19 impacted any of the following 
for you personally? Please select all 
that apply.","n =  119"
"response","count","percent_responded"
"No impact","70","58.82"
"I am forced to purchase from un-regulated sources","16","13.45"
"I can’t afford a regular supply of cannabis","16","13.45"
"I was able to get a medical cannabis card to have access","14","11.76"
"Other (please specify)","12","10.08"
"My health is worse due to lack of access to cannabis","10","8.4"
"I can’t afford to get a medical cannabis card","4","3.36"
"I registered to have a medical cannabis caregiver in my state","1","0.84"
