"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  174  avg =  94.23"
"response","count","percent_responded"
"0","93","53.45"
"20","9","5.17"
"10","8","4.6"
"100","6","3.45"
"150","6","3.45"
"30","6","3.45"
"50","6","3.45"
"500","6","3.45"
"25","4","2.3"
"400","4","2.3"
"250","3","1.72"
"700","3","1.72"
"300","2","1.15"
"1","1","0.57"
"1000","1","0.57"
"1200","1","0.57"
"15","1","0.57"
"1500","1","0.57"
"16","1","0.57"
"180","1","0.57"
"3","1","0.57"
"35","1","0.57"
"350","1","0.57"
"40","1","0.57"
"46","1","0.57"
"5","1","0.57"
"60","1","0.57"
"600","1","0.57"
"75","1","0.57"
"80","1","0.57"
"800","1","0.57"
