"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  442"
"response","count","percent_responded"
"Dry mouth","272","61.54"
"Changes in appetite","103","23.3"
"Increased energy","98","22.17"
"Sleepiness/fatigue","97","21.95"
"More or less talkative","91","20.59"
"Experienced no side effects","83","18.78"
"Memory problems","61","13.8"
"Feeling of being ""altered""","51","11.54"
"Heart racing/palpitations","42","9.5"
"Difficultly concentrating","36","8.14"
"Changes in libido","31","7.01"
"Paranoia","31","7.01"
"Other (please specify)","27","6.11"
"Anxiety","25","5.66"
"Racing thoughts","25","5.66"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","24","5.43"
"Dizziness","22","4.98"
"Tough to get started in the morning (lassitude)","20","4.52"
"Sweating","16","3.62"
"Headache","12","2.71"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","9","2.04"
"Nausea","7","1.58"
"Apathy","5","1.13"
"Depression","5","1.13"
