"q10","In your own words, why are you voting for or against adult use cannabis legalization?","n =  239"
"response","count","percent_responded"
"It's about time ","2","0.84"
"Unsure","2","0.84"
"1) I do not see a problem with marijuana   2) it’ll help the economy with taxes and help prison overcrowding ","1","0.42"
"A lot of public funds are wasted trying to enforce cannabis outdated laws that could be spent better elsewhere to help the economy in New Jersey.","1","0.42"
"A lot of the laws regarding cannabis are a part of systematic racism. The state can benefit from taxing cannabis sales. ","1","0.42"
"Adults should have the freedom to consume cannabis legally if they choose. I believe it is safer to consume than alcohol which is already legal.","1","0.42"
"Adults that need it for pain management can get it without jumping thru hoops with doctors and insurance ","1","0.42"
"Alcohol has been legal for years and the effects of it are far worse then cannabis. It will help the economy as alcohol does. ","1","0.42"
"Alcohol is so much worse and the tax revenue is very much needed.","1","0.42"
"America has seen progress in recreational cannabis throughout California, Colorado, Oregon, Washington, Massachusetts and Illinois. Crimes involving cannabis are down. The economic progress of these areas has climbed from the taxes on cannabis. It is safer to know where you are getting the cannabis from, rather than something from the street that could be laced. The challenge for NJ is to tax it fairly. Such as California, who taxes a modest 10% which makes it cheaper, safer and better than street cannabis.","1","0.42"
"An opportunity for reparations","1","0.42"
"As a part of criminal justice reform.","1","0.42"
"As an adult, I should have the right to alter my state of consciousness however I so choose. ","1","0.42"
"At age 71, I experienced a long period where all the information on the benefits was not available ir even being investigated.  From what I have learned, this product’s benefits should be available to all nit only through costly out if pocket scripts but also OTC. ","1","0.42"
"Bc it’s ridiculous that it’s still illegal. Plenty of other things that are more dangerous are legal, e.g. alcohol. ","1","0.42"
"Because cannabis has a lot of benefits.  ","1","0.42"
"because it did not offer economic relief in states that approved its use.","1","0.42"
"Because it should have never been i illegal.   ","1","0.42"
"Because its amazing medically and socially. Too many people are arrested, penalized, and stereotyped because of it.","1","0.42"
"Because marijuana has historically only been illegal for one race in this country. ","1","0.42"
"Because nobody has died from marijuana and it is illegal, yet, people die everyday from alcohol and it is legal.. marijuana is a plant not a drug & it helps people with pain and allows them to become introspective.. in addition to that, there are many people who are incarcerated for selling a non lethal plant and they need to be freed upon legalization.","1","0.42"
"Because other drugs are legal, why should this one not be?","1","0.42"
"Because the positive effects far outweigh the negative. So many things that this could help.","1","0.42"
"Being passed by most states   New Jersey needs the revenue . maybe they'll stop raising all the other state taxes!!","1","0.42"
"Beneficial to the the economy financially. ","1","0.42"
"Benefits for health, relaxation and healing ","1","0.42"
"Besides the many medicinal purposes, I feel that it is safer than alcohol (less accidents and alcohol-fueled domestic  disputes). Also think it will be less of a burden on our judicial system and is a state revenue benefit. ","1","0.42"
"Blacks and hispanics have been sentenced for way too long because of the illegalization of weed. Plus I think ironically, less people would be inclined to smoke if it was legal. ","1","0.42"
"Cannabis has a very high therapeutic index, which means there’s very little, if any, chance of an overdose. It is non-addictive and less dangerous than other legal drugs, such as alcohol and tobacco. It would bring in more tax revenue to the state and it would be safer to consume if it’s legalized (lower risk of it being laced with other drugs that could be potentially fatal). There is inconclusive evidence that marijuana is a gateway drug and it would be safer for people to consume it legally. It’s obscene that people are jailed for non violent crimes of possession or use of marijuana, which leads to overcrowding of our prisons. Not to mention the disproportionately that black people are arrested for drug charges. ","1","0.42"
"Cannabis has medical benefits and will help the economy.","1","0.42"
"Cannabis heals depression, anxiety. Pain, excellent for cancer patients.   will make a cleaner society over opiods and other prescription drugs.  Less alcohol use.   More revenue in New Jersey ","1","0.42"
"Cannabis is a plant that grows naturally. It is a safe alternative to pain killers and has not shown to be addictive. Some studies show it is safer than alcohol.  States that have legalized it recreationally (Colorado) have seen positive impacts on the economy as well. ","1","0.42"
"Cannabis is natural and should be legal.","1","0.42"
"Cannabis is no worse than alcohol (IMO it’s actual less dangerous than alcohol usage). If alcohol and cigarettes are legal and being taxed so too should cannabis. In addition, the number of lives that are destroyed because of the criminalization of cannabis is far too great. The War on Drugs has resulted in far too many young people (and disproportionately people of color) being sent to prison over a victimless “crime”. ","1","0.42"
"Cannabis is not a drug addiction threat.  Making it legal will help reduce the burden on the legal system. ","1","0.42"
"Cannabis is used for many medical reasons and I have seen the results of cannabis use on people with medical cannabis and its positive effects.","1","0.42"
"Cannabis should no longer be considered a drug. There's a lot of negative connotations with cannabis and it's time to debunk that.","1","0.42"
"Cannabis should not longer be substance worth criminalizing people for. There are many benefits to cannabis use.","1","0.42"
"Cannabis, unlike other things provided in the market (i.e. cigarettes) are a better alternative because there are no direct chemicals in it. If people are going to use cannabis anyways, might as well control the conditions in which it can be used, and decriminalize it.","1","0.42"
"Cannabis, when used correctly, can serve as a natural and effective substitute to medication used by those in pain. With cannabis, there won’t be any lasting or life threatening side effects compared to what you may run into with taking multiple kinds of pills.","1","0.42"
"Dangerous ","1","0.42"
"Deciding one chemical is worse than another is arbitrary. Alcohol is so much worse.","1","0.42"
"Decriminalize cannabis.","1","0.42"
"Economy","1","0.42"
"Economy and POC benefits ","1","0.42"
"Financial Considerations","1","0.42"
"For a number of different reasons.  Personally, I would like the option to use it recreationally.  For our society, I think it is currently policed unfairly based on the color of a person's skin.  Far too many people of color are incarcerated in comparison to white people for cannabis-related charges.  I also think by legalizing it, it will be safer to purchase and will not connect young adults with drug dealers - who could go on and offer them stronger, more addictive, more deadly drugs to purchase.   ","1","0.42"
"for adult use. bc cannabis is illegal in many us states, illegal use of the drug disproportionately affects black americans and other people of color. they are sentenced to unreasonably long jail times or high fines when caught with the drug, and often fall victim to police brutality. this does not affect white americans in the same way as they get lesser sentences (if they get sentenced to jail or even arrested at all) legalizing cannabis can help reduce the amount of black americans and poc in jail and hopefully change the way certain people view the drug.","1","0.42"
"For because it appears to have therapeutic value","1","0.42"
"For pain control, use it in my pain practice as an Apn. To generate income for NJ to hopefully lower our taxes. ","1","0.42"
"Freedom","1","0.42"
"Help economy","1","0.42"
"I'm voting against this because I believe cannabis is more of a gateway drug than alcohol. I'm also against this because I think that our state government will waste and exploit the revenue from this.  ","1","0.42"
