"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  87  avg =  115.46"
"response","count","percent_responded"
"0","33","37.93"
"150","6","6.9"
"20","6","6.9"
"50","5","5.75"
"10","4","4.6"
"100","4","4.6"
"200","3","3.45"
"30","3","3.45"
"40","3","3.45"
"400","3","3.45"
"300","2","2.3"
"700","2","2.3"
"2000","1","1.15"
"250","1","1.15"
"28","1","1.15"
"350","1","1.15"
"44","1","1.15"
"45","1","1.15"
"500","1","1.15"
"60","1","1.15"
"70","1","1.15"
"8","1","1.15"
"80","1","1.15"
"800","1","1.15"
"90","1","1.15"
