"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Agent Orange","46","31.08"
"Asbestos","46","31.08"
"I was not exposed to any of these","36","24.32"
"Burn Pits","34","22.97"
"Specific Environmental Hazards","19","12.84"
"Gulf war illness","14","9.46"
"Other (please specify)","14","9.46"
"Radiation Exposure","12","8.11"
"contaminated drinking water at camp Lejelune","10","6.76"
"Children having birth defects like Spina Bifida","2","1.35"
"Gulf war illness in Afghanistan","2","1.35"
"Contact with mustard gas or lewisite","1","0.68"
