"q52","What questions regarding cannabis did we not ask that are important to you?","n =  234"
"response","count","percent_responded"
"None","46","19.66"
"none","14","5.98"
"N/A","6","2.56"
"None ","6","2.56"
"N/a","3","1.28"
"Not sure","3","1.28"
"Nothing","3","1.28"
"Can't think of any","2","0.85"
"Can’t think of any ","2","0.85"
"n/a","2","0.85"
"Na","2","0.85"
"No","2","0.85"
"None.","2","0.85"
"activities enjoyed while medicated","1","0.43"
"Add FECO to list of products used.","1","0.43"
"Advertising","1","0.43"
"All","1","0.43"
"All references seem to be dispensary or budtender based.  Maybe ask how many are using private caregivers and the quality we offer.","1","0.43"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.43"
"Are you using cannabis to seek relief without a high?  Or, do you have to be high to achieve medical relief?  Or, how important is getting relief without a high to you?  The dosing question should separate THC amount from CBD amount because the total number of cannabinoids is misleading. For example, my daily use is 100mg total, 80CBD 20THC. This put me in high usage category but I don't get high.   A question on how knowledgable friends and family are about cannabis would give a broader understanding of market knowledge.   Where would you prefer to gain knowledge about cannabis could reveal a need for unrealized sources?  Asking more specific questions on pricing of products would reveal the how wide the price range is in the market, i.e. price per mg of each method used. ","1","0.43"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.43"
"asd","1","0.43"
"Balance of CBD to THC","1","0.43"
"can't think of any","1","0.43"
"Can't think of anything","1","0.43"
"Can I have the right to protect myself with the 2nd amendment and still have my medicine? ","1","0.43"
"Can’t think of anything right now ","1","0.43"
"Cannot think of any at the moment","1","0.43"
"CBD and pets","1","0.43"
"children consumption - when will that be a thing? for medicinal use of course","1","0.43"
"consistency of vape cartridges  ","1","0.43"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.43"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.43"
"Do you know about the dry and cure process and how important it is?","1","0.43"
"Do you make any cannabis products for yourself?","1","0.43"
"Do you think cannabis has different effects on females vs. males ?","1","0.43"
"Do you think the individual states with legalized cannabis will get over their greed and cut taxes?","1","0.43"
"Don't have any feedback. ","1","0.43"
"Don't have any right now","1","0.43"
"Education is important.  What are some areas that new patients require to be able to make their own medications?","1","0.43"
"Federal legalization, and the education of the masses.","1","0.43"
"Feeling about legalisation ","1","0.43"
"Good job. Thanks ","1","0.43"
"Have you been impacted by criminalization, & how that effects current ability to use. ","1","0.43"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.43"
"How can we move from stigma to real science and mainstream medicine?","1","0.43"
"How can we promote more scientific research into the use and effects of cannabis?","1","0.43"
"How do we think the state is doing implementing leagl canabis","1","0.43"
"How does cannabis improve healing beyond just consuming it.","1","0.43"
"How important is it that you have consistent access to your favorite strain?","1","0.43"
"how important is it to have a physician/care giver monitor and prescribe cannabis for your treatment.","1","0.43"
"How long it takes to get to a dispensary. Do you have a dispensary in your neighborhhood. ","1","0.43"
"How many years have you had your mmj certification for?","1","0.43"
"How old are you? When did you receive your mmj certification?","1","0.43"
"How to make delivery more convenient.dispenseries have different strains, maybe to far to travel to","1","0.43"
"how to obtain grow license","1","0.43"
"How will adult use legalization affect the medical market?","1","0.43"
"I'm good ","1","0.43"
"I'm not sure","1","0.43"
"I am curious about the best time to consume edibles- before, after or during meals.","1","0.43"
"I can't think of one at the moment.","1","0.43"
"I don’t have more?","1","0.43"
"I smoked recreationally when I was younger. Now, I'd like to see more newbie education","1","0.43"
"I think you covered it all","1","0.43"
"I think you covered it well.","1","0.43"
"I would fully support federal and state tax money being used to properly research cannabis. I would not support pharmaceutical companies patenting the molecule, and I would not consume cannabis that has been neutered into a pill. ","1","0.43"
"I would like more info on dosing to achieve maximum results for different conditions. ","1","0.43"
"I would like to know how we can lower the price enough to allow me to not have to ration it. I might be able to lower my opiods if I could actually afford to buy the amount I really need.","1","0.43"
"I would love to know a thorough, non-biased view of how risky smoking flower is for things such as lung cancer. I also would love to know more about vape cartridge risk, particularly if it's okay to use within plastic cartridges, how to know if the distillate is breaking down, negative potential effects, etc. ","1","0.43"
"I would love to know how to refine dosing and strains for my particular issues. ","1","0.43"
"If I know what specific strains treat for medical needs ","1","0.43"
"Insurance coverage of cannabis  Medical benefits from cannabis","1","0.43"
"Is there a limit of time to use Medical Cannabis. ","1","0.43"
"Is there any way to add to the list of MA qualifying conditions? Dysmenorrhea/PMS/PMDD are not on the list, but cannabis absolutely is a great treatment! The list needs to be updated. ","1","0.43"
"it's important to be able discuss use with MD and get advice, most are either judgmental or don't know about interactions or how to avoid them with other meds","1","0.43"
