"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  641"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","261","40.72"
"Antidepressants","204","31.83"
"Anxiolytics/Benzodiazepines","119","18.56"
"Narcotics/opioids","109","17"
"NSAID/non-opioid analgesics","107","16.69"
"Muscle relaxants","103","16.07"
"Other (please specify)","68","10.61"
"Sedatives/hypnotics","60","9.36"
"Other (please specify below)","54","8.42"
"Antimigraine","38","5.93"
"Antipsychotics","33","5.15"
"Anti-convulsants","18","2.81"
"Proton pump inhibitors","15","2.34"
