"q7","How does cannabis help your daily life? (Please select all that apply)","n =  242"
"response","count","percent_responded"
"Helps with physical symptoms (e.g. body pains, function, sensation)","226","93.39"
"Generally helps with quality of life","196","80.99"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","188","77.69"
"Helps to reduce use of other prior medicines (non-opiates)","141","58.26"
"Helps to avoid starting other medicines (including opiates)","116","47.93"
"Helps to reduce use of alcohol","88","36.36"
"Helps to reduce use of opiates","65","26.86"
"Helps to reduce us of tobacco","32","13.22"
"Other (please specify)","11","4.55"
"Does not help my daily life","2","0.83"
