"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","159","40.66"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","138","35.29"
"I have reduced my prescription medication use in the past","112","28.64"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","98","25.06"
"Anti-inflammatories","90","23.02"
"Muscle relaxants","87","22.25"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","75","19.18"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","59","15.09"
"Other (please specify)","27","6.91"
"Statins (e.g. Lipitor, Crestor)","26","6.65"
"Sedatives/hypnotics","24","6.14"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","24","6.14"
"Steroids, including steroid creams","21","5.37"
"Beta Blockers","20","5.12"
"Antimigraine","19","4.86"
"Antihypertensives","18","4.6"
"Antipsychotics (e.g. Abilify, Seroquel)","14","3.58"
"Proton pump inhibitors","10","2.56"
"Barbiturates (e.g. Floricet)","9","2.3"
"Insulin","8","2.05"
"Antiemetics","5","1.28"
"Hormone replacement therapy (HRT)","3","0.77"
