"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  101"
"response","count","percent_responded"
"Dry mouth","72","71.29"
"Changes in appetite","29","28.71"
"Increased energy","26","25.74"
"More or less talkative","26","25.74"
"Sleepiness/fatigue","20","19.8"
"Experienced no side effects","17","16.83"
"Memory problems","16","15.84"
"Racing thoughts","15","14.85"
"Feeling of being ""altered""","12","11.88"
"Tough to get started in the morning (lassitude)","12","11.88"
"Anxiety","11","10.89"
"Heart racing/palpitations","11","10.89"
"Difficultly concentrating","10","9.9"
"Paranoia","9","8.91"
"Changes in libido","8","7.92"
"Dizziness","7","6.93"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","7","6.93"
"Headache","5","4.95"
"Other (please specify)","5","4.95"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","3","2.97"
"Depression","2","1.98"
"Nausea","2","1.98"
"Sweating","2","1.98"
"Apathy","1","0.99"
