"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Anxiety","23","69.7"
"Depression","20","60.61"
"Chronic pain","19","57.58"
"Posttraumatic stress disorder (PTSD)","15","45.45"
"Hypertension","14","42.42"
"Insomnia","11","33.33"
"Arthritis","9","27.27"
"Allergies","8","24.24"
"Gastrointestinal/digestive system disorders","8","24.24"
"Obesity","6","18.18"
"Reflux esophagitis","6","18.18"
"Substance abuse/addiction","6","18.18"
"Inflammatory bowel disease (IBD)","4","12.12"
"Cancer","3","9.09"
"Respiratory problems","3","9.09"
"Bipolar/manic depression","2","6.06"
"Eczema","2","6.06"
"Other (please specify)","2","6.06"
"Diabetes","1","3.03"
