"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  85"
"response","count","percent_responded"
"Chronic pain","35","41.18"
"Posttraumatic stress disorder (PTSD)","17","20"
"Insomnia","10","11.76"
"Anxiety","8","9.41"
"Arthritis","3","3.53"
"Depression","3","3.53"
"Fibromyalgia/myositis","3","3.53"
"Attention deficit/hyperactivity disorder (ADHD)","2","2.35"
"Bipolar/manic depression","1","1.18"
"Cardiovascular disease","1","1.18"
"Gastrointestinal/digestive system disorders","1","1.18"
"Substance abuse/addiction","1","1.18"
