"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","142","98.61"
"Depression","123","85.42"
"Anxiety","118","81.94"
"Chronic pain","95","65.97"
"Insomnia","73","50.69"
"Arthritis","42","29.17"
"Allergies","32","22.22"
"Hypertension","31","21.53"
"Reflux esophagitis","29","20.14"
"Gastrointestinal/digestive system disorders","27","18.75"
"Other (please specify)","27","18.75"
"Substance abuse/addiction","26","18.06"
"Obesity","23","15.97"
"Attention deficit/hyperactivity disorder (ADHD)","22","15.28"
"Respiratory problems","20","13.89"
"Inflammatory bowel disease (IBD)","14","9.72"
"Cancer","11","7.64"
"Bipolar/manic depression","10","6.94"
"Cardiovascular disease","10","6.94"
"Eczema","10","6.94"
"Diabetes","5","3.47"
"Fibromyalgia/myositis","4","2.78"
"HIV/AIDS","2","1.39"
"Alzheimer's","1","0.69"
"Autism","1","0.69"
"Epilepsy","1","0.69"
