"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Pain","15","46.88"
"Depression/mood","13","40.62"
"Sleep/insomnia","13","40.62"
"Anxiety/panic attacks","12","37.5"
"Aggression","4","12.5"
"Spasms","4","12.5"
"Appetite/weight","3","9.38"
"Headache","3","9.38"
"Nausea/vomiting","3","9.38"
"Other (please specify)","3","9.38"
"Attention/concentration","2","6.25"
"Inflammation","2","6.25"
"Drug withdrawal","1","3.12"
