"q67","Which VA do you go to?","n =  31"
"response","count","percent_responded"
"None","4","12.9"
"Bedford","3","9.68"
"Bedford ","2","6.45"
"Lynn","2","6.45"
"N/A","2","6.45"
"Boston","1","3.23"
"Boston - JP","1","3.23"
"Boston JP","1","3.23"
"Boston WRox","1","3.23"
"Brockton ","1","3.23"
"Brockton VA","1","3.23"
"don't","1","3.23"
"Don't ","1","3.23"
"I don’t ","1","3.23"
"Jp","1","3.23"
"Lynn VA clinic","1","3.23"
"n/a","1","3.23"
"N/a","1","3.23"
"none","1","3.23"
"VA  BostonJamaica Plain","1","3.23"
"VA Clinic, North Quincy, MA","1","3.23"
"West Roxbury ","1","3.23"
"Worcester ","1","3.23"
