"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Money to purchase products","108","49.77"
"Access to the right products","95","43.78"
"Money required to get medical card","74","34.1"
"Owning a firearm","57","26.27"
"Stigma","56","25.81"
"Workplace testing or other policies","41","18.89"
"Place to consume cannabis","38","17.51"
"Lack of knowledge","29","13.36"
"Other (please specify)","28","12.9"
"Previous bad experience","2","0.92"
