"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  641"
"response","count","percent_responded"
"Different effects of different cannabinoids","477","74.41"
"Medical value of cannabis","368","57.41"
"Cultivation and extraction","334","52.11"
"Cannabis genetics","288","44.93"
"Cannabis and pharmaceutical drug interactions","247","38.53"
"Side effects of cannabis","207","32.29"
"Other (please specify)","45","7.02"
"Other (please list below)","30","4.68"
