"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  79  avg =  19.139"
"response","count","percent_responded"
"0","28","35.44"
"21","4","5.06"
"13","3","3.8"
"19","3","3.8"
"2","3","3.8"
"9","3","3.8"
"1","2","2.53"
"100","2","2.53"
"11","2","2.53"
"12","2","2.53"
"16","2","2.53"
"18","2","2.53"
"22","2","2.53"
"51","2","2.53"
"70","2","2.53"
"10","1","1.27"
"17","1","1.27"
"23","1","1.27"
"25","1","1.27"
"27","1","1.27"
"3","1","1.27"
"30","1","1.27"
"34","1","1.27"
"43","1","1.27"
"47","1","1.27"
"49","1","1.27"
"57","1","1.27"
"66","1","1.27"
"7","1","1.27"
"83","1","1.27"
"85","1","1.27"
"91","1","1.27"
