"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","118","44.36"
"I don’t take any prescription medications","90","33.83"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","85","31.95"
"Anti-inflammatories","66","24.81"
"Muscle relaxants","48","18.05"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","47","17.67"
"Other (please specify)","46","17.29"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","36","13.53"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","23","8.65"
"Steroids, including steroid creams","22","8.27"
"Antimigraine","19","7.14"
"Antipsychotics (e.g. Abilify, Seroquel)","19","7.14"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","17","6.39"
"Statins (e.g. Lipitor, Crestor)","14","5.26"
"Beta Blockers","11","4.14"
"Antihypertensives","10","3.76"
"Sedatives/hypnotics","10","3.76"
"Hormone replacement therapy (HRT)","8","3.01"
"Barbiturates (e.g. Floricet)","7","2.63"
"Proton pump inhibitors","6","2.26"
"Antiemetics","1","0.38"
"Insulin","1","0.38"
