"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  558"
"response","count","percent_responded"
"Different effects of different cannabinoids","407","72.94"
"Medical value of cannabis","333","59.68"
"Cultivation and extraction","262","46.95"
"Cannabis and pharmaceutical drug interactions","221","39.61"
"Cannabis genetics","172","30.82"
"Side effects of cannabis","159","28.49"
"Other (please specify)","46","8.24"
"Other (please list below)","35","6.27"
