"q14","What are the effects of your pain? (Please select all that apply)","n =  161"
"response","count","percent_responded"
"Physical activity","146","90.68"
"Enjoyment of life","144","89.44"
"Energy level","127","78.88"
"Sleep","122","75.78"
"Mobility","120","74.53"
"Mood","111","68.94"
"Household chores","108","67.08"
"Depression","105","65.22"
"Relationships with others","93","57.76"
"Concentration","90","55.9"
"Sexual functioning","87","54.04"
"Anxiety","84","52.17"
"Self esteem","76","47.2"
"Memory","58","36.02"
"Personal care","52","32.3"
"Appetite","42","26.09"
