"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  723"
"response","count","percent_responded"
"Chronic pain","205","28.35"
"Anxiety","195","26.97"
"Depression/mood","111","15.35"
"Other (please specify)","49","6.78"
"Post-Traumatic Stress Disorder (PTSD)","46","6.36"
"Insomnia","34","4.7"
"Inflammatory Bowel Disease (IBD)","24","3.32"
"Not using cannabis for a health condition","16","2.21"
"Attention Deficit/Hyperactivity Disorder (ADHD)","12","1.66"
"Nausea/vomiting","12","1.66"
"Arthritis","8","1.11"
"Epilipsey","6","0.83"
"Multiple Sclerosis","4","0.55"
"HIV/AIDS","1","0.14"
