"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  391"
"response","count","percent_responded"
"Some college, no degree","121","30.95"
"Bachelor's degree","85","21.74"
"Associate's degree","67","17.14"
"High school degree or equivalent (GED)","48","12.28"
"Master's degree","37","9.46"
"Vocational degree","22","5.63"
"Professional degree (MD, JD, DDS, DVM)","5","1.28"
"Doctorate (Ph.D, Ed.D, etc)","4","1.02"
"Less than high school diploma","2","0.51"
