"q48","What are your general thoughts regarding the legalization of cannabis?","n =  169"
"response","count","percent_responded"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.59"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.59"
"A positive turn for patients with a wide spectrum of issues. Less pharmies and more naturals! We've all seen the effects of too many pills on our neighbors, friends and family. Offer more alternatives and let people decide for themselves what works better for them and has less side effects.","1","0.59"
"About Fucking Time","1","0.59"
"About time","1","0.59"
"about time. ","1","0.59"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.59"
"As with any ingested substance that affects the body, there are risks for abuse and disuse, along with potential unintended social side effects, but when compared to other socially acceptable substances - notably alcohol - it is far less risky.  If nothing else, legalization should open up the doors for deep medical research which will hopefully provide effective alternatives to pharmaceuticals for many people.","1","0.59"
"Awesome ","1","0.59"
"Change the nomenclature, pot industry must rebrand if it ever wants to be truly legitimate. Keep recreational/medical separate units. I hope to god mj does not go down some big pharma path, but we must do something about the culture of weed (the names, the stereotypes) not overshadowing the medicinal benefits  that has helped countless people. I don't want to buy my cancer ridden grandma something called thunderfuck weed, can we call it like level 3, or chemo-easer or something not so blatant?! Also: DOJ-stay the FUCK out of this and go after the opioid crisis. I'm tired of seeing people OD on the street every single day. I'm tired of the needles, the nodding off in the middle of traffic, the sight of small children sitting alone in a car for hours while their parents are utter zombies. FIX THAT SHIT.  BEFORE YOU GO AFTER MOTHER NATURE.","1","0.59"
"completely supportive. it's about time. ","1","0.59"
"Cool","1","0.59"
"Corruption from government and pharmaceutical companies is the biggest impediment to legalization and public perception regarding its use.","1","0.59"
"Definitely tax the rich","1","0.59"
"do it","1","0.59"
"Everyone should have the right to treat their conditions ","1","0.59"
"fine with it if labelling of product is regulated for accuracy and more studies and results are available for strains, side effects. etc.","1","0.59"
"Generally, it’s a good thing as it will de-stigmatize it and make researching it easier for the researchers.","1","0.59"
"good","1","0.59"
"Good ","1","0.59"
"Good for the culture","1","0.59"
"Good mushrooms should be next","1","0.59"
"Great","1","0.59"
"Happy it’s about time. It has helped me get off my Lorazepam. 2 years.      ","1","0.59"
"Hope it will be legalized nationally ","1","0.59"
"I'd rather it stay medical. The stigma is bad enough.","1","0.59"
"I'm for it and wish it was legal here. I think it will be legal in all states soon.  So far I have been able to find it here.  I'd LOVE to grow my own, and I would if it was legal here.","1","0.59"
"I've really suffered after moving from a place where I could legally access cannabis with a medical card to a place where it is criminalized and inaccessible. Additionally I no longer qualify for medicaid in this new state. Needless to say, my access to medical care and treatment has gone down considerably. Not only am I unable to get mental health care, I'm unable to properly self-medicate without legal dispensaries and strain specificity.    Criminalization of is a structural determinant of health. Given all the intersecting issues (mass incarceration, parental stress/child maltreatment, opioid epidemic) related to cannabis legalization, I think it's absurd that research is being limited on something with such incredible capacity to reduce health disparities. Legalizing cannabis would help individuals, families, communities, businesses, and health care systems. It's time for cannabis to be formally integrated into comprehensive, whole person health care.","1","0.59"
"I agree with the legalization of cannabis. I feel it is something that wont kill you such as things like alcohol and tobacco. It will help support schools, and communities off of the taxes not to mention the jobs that are created from it.","1","0.59"
"I am a firm believer in legalizing cannabis","1","0.59"
"I am so grateful to have this available, I deal with a lot of anxiety and I do not like taking Clonozapam, or any other Chemical to help me with panic and anxiety attacks, with Cannabis I choose, how much to use, how the effects of being relaxed from a gumdrop, cookies, or flower at night, I dont have to settle myself down with half, or a full dose of a Chemical that is very, very sedating, no matter how much I take. ","1","0.59"
"I am very pleased to see recreational marijuana legalized in my lifetime.","1","0.59"
"I am very pro legalization!","1","0.59"
"I believe it should be declassified as a schedule 1 as it has MANY medicinal uses as well as should be legal to adults 21 and over in all states!!!","1","0.59"
"I believe it should happen yesterday","1","0.59"
"I believe that there are many more health benefits than there are negative. It helps better than any anti-depressant that I've ever used.","1","0.59"
"I can't wait to freely purchase cannabis edibles for my anxiety. A friend of mine is currently making the eatables for me.","1","0.59"
"I don't like the Rec side of it in CA. ","1","0.59"
"I don't think cannabis is very significant to people, except to 1) people who need it for health reasons, and to 2) the bigots who want to put people in prison for it. Everyone in the middle seems to equate it either with beer or crack.","1","0.59"
"I don’t agree with it.  I don’t think recreational should be legal.  Afraid it will be misused. I don’t want to get high.","1","0.59"
"I feel it should be federally legal across the country","1","0.59"
"I have mixed feeling about the legalization of cannabis. I think it should be used for medicinal purposes and that people who use it recreationally should use it responsibly. I worry that legalization will turn into Big Weed (like Big Pharma) and that access/costs will become problematic once that happens. If/when it becomes legal on that level, I hope that people with marijuana charges will be helped.","1","0.59"
"I hope it drives down prices for medicinal users","1","0.59"
"I hope it happens!! It's so hard for me to get and helps so much.","1","0.59"
"I love it, long time coming!","1","0.59"
"I refuse to take meds for many serious ailments and pain. Cannabis has given me my life back and made a lot of mental anguish subside and be tolerable!","1","0.59"
"I support both the legalization and the proper, fair taxation of it.","1","0.59"
"I think great.","1","0.59"
"I think it's a great movement ","1","0.59"
"I think it's great and necessary.","1","0.59"
"I think it is a Godsend to those who suffer and find out that it actually helps. It is a good thing. Hope the stigma from the past melts away. It's just another drug like any other in my opinion. I'm most for medical use. But recreational use is ok I guess. Make it legal. Have laws/legal age/id, etc. and enforce it like any other legal drug.","1","0.59"
"I think it is an amazing thing. To be able to have something that let's me get out of my house and to be able to function without being on meds.","1","0.59"
"I think it should be legal everywhere ","1","0.59"
"I think it should be legalized so the products can be regulated. Recreational users pretending to be medical patients have shifted the products available towards only high THC products and those aren't always the best products for medical patients. I rarely see products with known cannabinoids and terpenes that have been shown to reduce inflammation and nerve pain. I don't mind if they also use cannabis, but I would like to have more medicinal strains available and more consistency in the products. The wait times and process are also ridiculously long because of the additional people. If we are going to say it is a medicine it needs to be treated as one, but we can also acknowledge that some strains are more for recreational use and others are for medicinal use.   ","1","0.59"
"I think it was should be regulated like alcohol","1","0.59"
"I think it’s awesome! It’s about time it has so many health benefits everyone could benefit by using it. ","1","0.59"
"I think it’s great ","1","0.59"
"I think that it is crazy that alcohol is legal over cannabis - LEGALIZE LEGALIZE LEGALIZE ","1","0.59"
"I think that it will help many people, and harm a few.  However, ultimately, individuals who are helped or harmed must take personal responsibility for their own decisions.  Just as there are people who misuse alcohol, there will be people who misuse pot.  I expect most of the people who misuse pot to fall in to one of two categories:  1. People who already misuse it.  2. People who already misuse other drugs (alcohol and prescriptions included)  If a large number of people get a quality of life improvement, at the expense of indulging people who are already using far more dangerous drugs, I see it as a net benefit.  State resources should be spent on education and rehabilitation, rather than a futile attempt at prohibition.","1","0.59"
"I worry that rec use could increase use by children and others who will not use it responsibly. ","1","0.59"
"I would like everyone to know the pros of cannabis use","1","0.59"
"I’m very pleased with it. I feel necessary for so many people and certainly less harmful than prescription medications I was on for chronic pain. ","1","0.59"
"In favor","1","0.59"
"It's a travesty that we have to have this conversation. It should be federally legal, regulated, standardized nomenclature and people should be able to grow/produce their own products and have access to educational tools to allow them to do that. Big corporations are already doing damage to this industry.","1","0.59"
"It's a wonderful supplement, that needs more research ","1","0.59"
"it's about time ","1","0.59"
"It's about time.","1","0.59"
"it's about time...","1","0.59"
"It's been a long slow process...something needs to change and fast.","1","0.59"
"It's been way too long!  Canada is ahead of the U.S. per usual","1","0.59"
"It's going to be too expensive to buy legally.TAXES!","1","0.59"
"It comes from the earth... ","1","0.59"
"It has helped me drop numerous medications that were prescribed to me, since using cannabis I have stopped a life long battle with biting my finger nails. I am no longer a slave to prescription medication.","1","0.59"
"It is about time, alchohal is far more dangerous. This should never have happened, we have wasted Billions of dollars fighting a battle on drugs, that failed misreavly. All the while creating a true drug problem legally in America through big pharma.thousands have died and gone to jail over marijuana and the truth is it should have been legal and a priority med over opiates and all other drugs. This should be addressed and made right asap.","1","0.59"
"It is essential to provide access for a multitude of reasons, especially medical. I most likely wouldn't have been kicked out of high school for possession of a quarter gram. Legalization will hopefully reduce stigma and redirect law enforcement efforts to more important issues.","1","0.59"
"It is long overdue and alarmingly slow in it's realization, with misinformation and minimal transparency that feels very wrong considering the vast majority of the people in this state are fully in favor of recreational use","1","0.59"
"It is way overdue, although I am concerned about the availability and consistency of medical cannabis when it rec becomes available. ","1","0.59"
"it needs to be done ASAP","1","0.59"
"It needs to be done federally ","1","0.59"
"It never should have been illegal in the first place. ","1","0.59"
"It should absolutely be legal.","1","0.59"
"It should be available in all the States for medical use.","1","0.59"
"It should be decriminalized so we can do more research in the United States. The most important is that vets should have total access to cannabis through the VA. Transplant patient should not be kicked off of the transplant list for using cannabis. ","1","0.59"
"It should be done to help more people and get eid of the stigma","1","0.59"
"It should be legal","1","0.59"
"It should be legal everywhere, it's the safest drug, period. ","1","0.59"
"It should be legal for all. Alcohol is and it's far more dangerous","1","0.59"
