"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Money to purchase products","196","46.78"
"Access to the right products","169","40.33"
"Stigma","137","32.7"
"Owning a firearm","130","31.03"
"Money required to get medical card","124","29.59"
"Workplace testing or other policies","115","27.45"
"Place to consume cannabis","81","19.33"
"Lack of knowledge","63","15.04"
"Other (please specify)","45","10.74"
"Previous bad experience","8","1.91"
