"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  913  avg =  78.28"
"response","count","percent_responded"
"100","555","60.79"
"0","95","10.41"
"50","28","3.07"
"90","19","2.08"
"80","18","1.97"
"75","16","1.75"
"99","14","1.53"
"85","10","1.1"
"97","10","1.1"
"95","9","0.99"
"10","8","0.88"
"25","8","0.88"
"98","8","0.88"
"1","7","0.77"
"40","7","0.77"
"20","6","0.66"
"30","6","0.66"
"5","6","0.66"
"70","6","0.66"
"88","5","0.55"
"2","4","0.44"
"94","4","0.44"
"35","3","0.33"
"51","3","0.33"
"54","3","0.33"
"60","3","0.33"
"86","3","0.33"
"21","2","0.22"
"45","2","0.22"
"52","2","0.22"
"56","2","0.22"
"59","2","0.22"
"84","2","0.22"
"11","1","0.11"
"13","1","0.11"
"14","1","0.11"
"15","1","0.11"
"16","1","0.11"
"19","1","0.11"
"23","1","0.11"
"24","1","0.11"
"26","1","0.11"
"27","1","0.11"
"28","1","0.11"
"32","1","0.11"
"33","1","0.11"
"34","1","0.11"
"39","1","0.11"
"42","1","0.11"
"46","1","0.11"
"48","1","0.11"
"49","1","0.11"
"55","1","0.11"
"57","1","0.11"
"58","1","0.11"
"6","1","0.11"
"64","1","0.11"
"65","1","0.11"
"66","1","0.11"
"69","1","0.11"
"7","1","0.11"
"71","1","0.11"
"73","1","0.11"
"74","1","0.11"
"82","1","0.11"
"87","1","0.11"
"89","1","0.11"
"91","1","0.11"
"93","1","0.11"
"96","1","0.11"
