"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  78  avg =  21.013"
"response","count","percent_responded"
"0","27","34.62"
"100","3","3.85"
"16","3","3.85"
"2","3","3.85"
"39","3","3.85"
"1","2","2.56"
"10","2","2.56"
"11","2","2.56"
"20","2","2.56"
"23","2","2.56"
"24","2","2.56"
"3","2","2.56"
"38","2","2.56"
"7","2","2.56"
"14","1","1.28"
"19","1","1.28"
"21","1","1.28"
"22","1","1.28"
"27","1","1.28"
"28","1","1.28"
"29","1","1.28"
"31","1","1.28"
"4","1","1.28"
"41","1","1.28"
"44","1","1.28"
"50","1","1.28"
"52","1","1.28"
"53","1","1.28"
"78","1","1.28"
"8","1","1.28"
"81","1","1.28"
"87","1","1.28"
"9","1","1.28"
"97","1","1.28"
"99","1","1.28"
