"q10","Have you experienced any side
effects from using cannabis? 
Please select all that apply.","n =  187"
"response","count","percent_responded"
"Dry mouth","123","65.78"
"Changes in appetite","62","33.16"
"Increased energy","53","28.34"
"Sleepiness/fatigue","53","28.34"
"More or less talkative","52","27.81"
"Memory problems","48","25.67"
"Feeling of being ""altered""","27","14.44"
"Heart racing/palpitations","25","13.37"
"Paranoia","24","12.83"
"Experienced no side effects","22","11.76"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","20","10.7"
"Changes in libido","19","10.16"
"Difficultly concentrating","19","10.16"
"Racing thoughts","17","9.09"
"Anxiety","16","8.56"
"Tough to get started in the morning (lassitude)","15","8.02"
"Dizziness","12","6.42"
"Apathy","11","5.88"
"Other (please specify)","10","5.35"
"Headache","8","4.28"
"Sweating","7","3.74"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","4","2.14"
"Nausea","3","1.6"
