"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  98  avg =  168.153"
"response","count","percent_responded"
"0","31","31.63"
"10","6","6.12"
"100","6","6.12"
"40","5","5.1"
"400","5","5.1"
"200","4","4.08"
"30","4","4.08"
"300","4","4.08"
"50","4","4.08"
"1000","3","3.06"
"150","3","3.06"
"55","3","3.06"
"45","2","2.04"
"500","2","2.04"
"75","2","2.04"
"80","2","2.04"
"1","1","1.02"
"1400","1","1.02"
"1500","1","1.02"
"195","1","1.02"
"20","1","1.02"
"2000","1","1.02"
"25","1","1.02"
"250","1","1.02"
"28","1","1.02"
"56","1","1.02"
"800","1","1.02"
"9","1","1.02"
