"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  148"
"response","count","percent_responded"
"Chronic pain","54","36.49"
"Posttraumatic stress disorder (PTSD)","40","27.03"
"Arthritis","13","8.78"
"Insomnia","10","6.76"
"Anxiety","7","4.73"
"Depression","6","4.05"
"Cancer","4","2.7"
"Diabetes","3","2.03"
"Fibromyalgia/myositis","3","2.03"
"Gastrointestinal/digestive system disorders","2","1.35"
"Hypertension","2","1.35"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.68"
"HIV/AIDS","1","0.68"
"Multiple sclerosis","1","0.68"
"Respiratory problems","1","0.68"
