"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","35","41.18"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","30","35.29"
"Muscle relaxants","23","27.06"
"I have reduced my prescription medication use in the past","22","25.88"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","21","24.71"
"Anti-inflammatories","16","18.82"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","13","15.29"
"I'm not trying to reduce any medication use","12","14.12"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","12","14.12"
"I don’t take any medications","9","10.59"
"Statins (e.g. Lipitor, Crestor)","6","7.06"
"Antimigraine","5","5.88"
"Barbiturates (e.g. Floricet)","5","5.88"
"Other (please specify)","5","5.88"
"Sedatives/hypnotics","5","5.88"
"Steroids, including steroid creams","5","5.88"
"Antiemetics","4","4.71"
"Antihypertensives","4","4.71"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","4","4.71"
"Antipsychotics (e.g. Abilify, Seroquel)","3","3.53"
"Beta Blockers","3","3.53"
"Insulin","3","3.53"
"Proton pump inhibitors","1","1.18"
