"q11","How do you prefer to use cannabis? Please select all that apply.","n =  913"
"response","count","percent_responded"
"Smoke flower","720","78.86"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","553","60.57"
"Vape cartridges","553","60.57"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","332","36.36"
"Vape flower","293","32.09"
"Tinctures","272","29.79"
"Salves/topicals","210","23"
"Capsules","109","11.94"
"Transdermal patches","45","4.93"
"Suppositories","23","2.52"
"Other (please specify)","11","1.2"
