"q11","How do you prefer to use cannabis? Please select all that apply.","n =  1292"
"response","count","percent_responded"
"Smoke flower","911","70.51"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","733","56.73"
"Vape cartridges","701","54.26"
"Tinctures","452","34.98"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","419","32.43"
"Vape flower","396","30.65"
"Salves/topicals","347","26.86"
"Capsules","176","13.62"
"Transdermal patches","70","5.42"
"Suppositories","38","2.94"
"Other (please specify)","36","2.79"
