"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  834"
"response","count","percent_responded"
"Money","505","60.55"
"Access to the right products","259","31.06"
"Stigma","239","28.66"
"Place to consume cannabis","232","27.82"
"Workplace testing or other policies","191","22.9"
"No barriers","145","17.39"
"Time required to get medical card or obtain products","113","13.55"
"Lack of knowledge","77","9.23"
"Other (please specify)","45","5.4"
"Previous bad experience","21","2.52"
