"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Depression/mood","118","67.82"
"Sleep/insomnia","107","61.49"
"Anxiety/panic attacks","99","56.9"
"Pain","95","54.6"
"Aggression","62","35.63"
"Attention/concentration","54","31.03"
"Headache","50","28.74"
"Inflammation","49","28.16"
"Appetite/weight","46","26.44"
"Spasms","34","19.54"
"Nausea/vomiting","21","12.07"
"Skin conditions","18","10.34"
"Respiratory","13","7.47"
"Other (please specify)","12","6.9"
"Ocular pressure","11","6.32"
"Mania/psychosis","5","2.87"
"Drug withdrawal","4","2.3"
"Seizures","2","1.15"
