"q41","What features are missing from your sources of information that you would like to see included?","n =  267"
"response","count","percent_responded"
"None","34","12.73"
"none","11","4.12"
"N/A","8","3"
"n/a","7","2.62"
"Not sure","7","2.62"
"Nothing","7","2.62"
"N/a","6","2.25"
"Na","5","1.87"
"None ","5","1.87"
"Not sure ","5","1.87"
"nothing","4","1.5"
"na","3","1.12"
"not sure","3","1.12"
"Price","3","1.12"
"Nada","2","0.75"
"Nothing ","2","0.75"
"Ability to get products from other states","1","0.37"
"Accept other payment forms ","1","0.37"
"Accuracy","1","0.37"
"Accurate genetics","1","0.37"
"Accurate in stock items","1","0.37"
"all discounts in one place","1","0.37"
"All dispensary tests results should include terpene profile. Period!","1","0.37"
"Any of dr Sulak’s resources are amazing ","1","0.37"
"Anything new","1","0.37"
"As","1","0.37"
"assistance in obtaining mmj card","1","0.37"
"avaiability","1","0.37"
"Better menus ","1","0.37"
"Better reporting of cannabinoids and terpenes levels. Date of harvest and where grown","1","0.37"
"better strain genetics, average testing % and deeper info","1","0.37"
"Bud history","1","0.37"
"Caffeine on edibles ","1","0.37"
"Can’t think of any ","1","0.37"
"Cannabinoids, Terpenes","1","0.37"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.37"
"Cannabis lessons. Teach the public how to roll joints, dab, grow, maintain glass/pieces","1","0.37"
"Cannabis science: terpenes and cannabinoids for medicine","1","0.37"
"CBD vs THC effects","1","0.37"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.37"
"clinical studies and more research","1","0.37"
"Coupons ","1","0.37"
"crossed strains","1","0.37"
"Current and Updated Information","1","0.37"
"Current Information","1","0.37"
"Data","1","0.37"
"Descriptions on some strains","1","0.37"
"Details on how to identify strains","1","0.37"
"Don’t know","1","0.37"
"dont have good sources.  will try the ones you mentioned apps/websites","1","0.37"
"Dosage and format information","1","0.37"
"dosing/ edibles/tincture/ etc/specific conditions","1","0.37"
"Each site has plus and minus.  Multiple sources are required to get a complete picture","1","0.37"
"Ease of finding strains. More medical info. ","1","0.37"
"Easy access to comparisons ","1","0.37"
"everything","1","0.37"
"Everything medical cannabis","1","0.37"
"First time I have heard about this.","1","0.37"
"Flavor","1","0.37"
"Getting my congressmen/women to vote on reform","1","0.37"
"Growth stages and more indepth strain specific growing journals for all strains ","1","0.37"
"Helpful ways to afford ","1","0.37"
"How and how often","1","0.37"
"hyperlinks to government laws on cannabis, views of lawmakers","1","0.37"
"I'd like to see evidence of strain content consistency","1","0.37"
"I'd like to see the same thc and turpene readout that comes with purchased products on the apps. ","1","0.37"
"I'm not sure.","1","0.37"
"I'm satisfied with the amount of features present","1","0.37"
"I am a caregiver and in 98 I did 1 yr in jail n now want to get in the cannabis biz but would need help","1","0.37"
"I can not think of anything","1","0.37"
"I don't know","1","0.37"
"I never heard of any of the above until taking this survey!","1","0.37"
"I pretty much always find the information I am looking for...","1","0.37"
"I think this is just fine","1","0.37"
"I usually just go to the dispensary website about current products available.","1","0.37"
"Ideal strains for particular conditions ","1","0.37"
"Idk","1","0.37"
"Insa needs to put more info on menus","1","0.37"
"Job information ","1","0.37"
"Local caregivers ancillary businesses social clubs community host agreements ","1","0.37"
"Local caregivers that deliver ","1","0.37"
"Local prices","1","0.37"
"Local pricing and availability","1","0.37"
"Location of strain im looking for","1","0.37"
"Log journal entries","1","0.37"
"medical applications of strains","1","0.37"
"Medical benefits ","1","0.37"
"medical info and attributes, chemical breakdown of strain","1","0.37"
"Menus","1","0.37"
"More about wellness","1","0.37"
"More accurate lab results and higher TAC","1","0.37"
"More cannabinoid detail","1","0.37"
"more consistent information.  sometimes information about a strain can vary greatly depending on what website you look at.","1","0.37"
"More creadable DYI","1","0.37"
"more data","1","0.37"
"More detailed info for new consumers","1","0.37"
"more detailed information on the effects of all the different strains","1","0.37"
"more exposure on twitter","1","0.37"
