"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  391  avg =  4.92"
"response","count","percent_responded"
"4","55","14.07"
"2","48","12.28"
"3","48","12.28"
"1","42","10.74"
"0","37","9.46"
"5","34","8.7"
"6","30","7.67"
"7","25","6.39"
"8","14","3.58"
"10","12","3.07"
"9","10","2.56"
"12","7","1.79"
"11","6","1.53"
"14","4","1.02"
"15","4","1.02"
"17","3","0.77"
"13","2","0.51"
"16","2","0.51"
"20","2","0.51"
"21","2","0.51"
"18","1","0.26"
"19","1","0.26"
"30","1","0.26"
"50","1","0.26"
